0.0;604.0;717.0;667.0;665.0;291.0;1015.0;673.0;408.0;517.0;686.0;449.0;504.0;668.0;973.0;344.0;901.0;417.0
604.0;0.0;610.0;569.0;62.0;516.0;583.0;574.0;273.0;102.0;585.0;154.0;197.0;542.0;479.0;286.0;804.0;372.0
717.0;610.0;0.0;52.0;597.0;426.0;364.0;42.0;458.0;634.0;22.0;599.0;435.0;70.0;526.0;727.0;236.0;813.0
667.0;569.0;52.0;0.0;556.0;376.0;340.0;7.0;409.0;593.0;20.0;558.0;394.0;29.0;502.0;686.0;239.0;772.0
665.0;62.0;597.0;556.0;0.0;558.0;555.0;561.0;316.0;161.0;572.0;216.0;240.0;530.0;432.0;347.0;775.0;434.0
291.0;516.0;426.0;376.0;558.0;0.0;725.0;385.0;259.0;540.0;396.0;506.0;289.0;381.0;731.0;634.0;613.0;692.0
1015.0;583.0;364.0;340.0;555.0;725.0;0.0;332.0;615.0;607.0;336.0;572.0;487.0;340.0;176.0;700.0;391.0;787.0
673.0;574.0;42.0;7.0;561.0;385.0;332.0;0.0;417.0;598.0;14.0;563.0;399.0;35.0;494.0;691.0;232.0;777.0
408.0;273.0;458.0;409.0;316.0;259.0;615.0;417.0;0.0;296.0;428.0;264.0;111.0;410.0;635.0;392.0;642.0;479.0
517.0;102.0;634.0;593.0;161.0;540.0;607.0;598.0;296.0;0.0;609.0;68.0;219.0;564.0;597.0;199.0;826.0;286.0
686.0;585.0;22.0;20.0;572.0;396.0;336.0;14.0;428.0;609.0;0.0;574.0;410.0;46.0;507.0;702.0;224.0;788.0
449.0;154.0;599.0;558.0;216.0;506.0;572.0;563.0;264.0;68.0;574.0;0.0;205.0;531.0;592.0;130.0;793.0;217.0
504.0;197.0;435.0;394.0;240.0;289.0;487.0;399.0;111.0;219.0;410.0;205.0;0.0;370.0;505.0;333.0;622.0;419.0
668.0;542.0;70.0;29.0;530.0;381.0;340.0;35.0;410.0;564.0;46.0;531.0;370.0;0.0;503.0;659.0;255.0;746.0
973.0;479.0;526.0;502.0;432.0;731.0;176.0;494.0;635.0;597.0;507.0;592.0;505.0;503.0;0.0;720.0;553.0;807.0
344.0;286.0;727.0;686.0;347.0;634.0;700.0;691.0;392.0;199.0;702.0;130.0;333.0;659.0;720.0;0.0;921.0;95.0
901.0;804.0;236.0;239.0;775.0;613.0;391.0;232.0;642.0;826.0;224.0;793.0;622.0;255.0;553.0;921.0;0.0;1007.0
417.0;372.0;813.0;772.0;434.0;692.0;787.0;777.0;479.0;286.0;788.0;217.0;419.0;746.0;807.0;95.0;1007.0;0.0
